Key,English,Category,Context,Amharic,Technical
buyer.address.phone,Phone,buyer,Address form label,,No
buyer.address.phonePlaceholder,+251 9XX XXX XXX,buyer,Address phone placeholder,,No
buyer.address.phoneRequired,Phone number is required,buyer,Address phone error,,No
buyer.address.removed,Address removed,buyer,Address remove toast,,No
buyer.address.save,Save Address,buyer,Address save button,,No
buyer.address.saved,Address saved!,buyer,Address save toast,,No
buyer.address.setDefault,Set as default address,buyer,Address default checkbox,,No
buyer.address.subCity,Sub-City,buyer,Address form label,,No
buyer.address.updated,Address updated!,buyer,Address update toast,,No
buyer.address.woreda,Woreda,buyer,Address form label,,No
buyer.address.woredaPlaceholder,e.g. Woreda 03,buyer,Address woreda placeholder,,No
buyer.address.work,Work,buyer,Address label Work,,No
buyer.cart.agreePolicy,Please agree to the store policy to proceed,buyer,Cart policy toast,,No
buyer.cart.confirmOrder,Confirm Order,buyer,Modal confirm order button,,No
buyer.cart.enterPhone,Please enter your phone number,buyer,Cart phone toast,,No
buyer.cart.invalidProduct,Invalid product,buyer,Open product invalid toast,,No
buyer.cart.maxReached,Maximum stock reached (${maxStock} units),buyer,Cart max reached toast,,No
buyer.cart.outOfStock,Out of stock,buyer,Cart out of stock toast,,No
buyer.cart.productNotFound,Product not found,buyer,Open product not found toast,,No
buyer.cart.qtyMax,Only ${maxStock} units available in stock for ${product.title}!,buyer,Cart max stock toast,,No
buyer.cart.selectSubCity,Please select your sub-city,buyer,Cart subcity toast,,No
buyer.coupons.applied,${result.message},buyer,Coupon applied msg,,No
buyer.coupons.apply,Apply,buyer,Coupons apply button,,No
buyer.coupons.available,Available Coupons (${available.length}),buyer,Coupons available header,,No
buyer.coupons.copied,"Code ""${code}"" copied!",buyer,Coupon copied toast,,No
buyer.coupons.copy,Copy,buyer,Coupon copy button,,No
buyer.coupons.copyFailed,Failed to copy,buyer,Coupon copy error,,No
buyer.coupons.enterCode,Enter code,buyer,Coupons input placeholder,,No
buyer.coupons.enterFirst,Enter a code first,buyer,Coupon validate empty,,No
buyer.coupons.expired,Expired,buyer,Coupon expired,,No
buyer.coupons.expiresIn,Expires in ${daysLeft} days,buyer,Coupon expiry,,No
buyer.coupons.haveCode,Have a promo code?,buyer,Coupons promo label,,No
buyer.coupons.invalid,${err.message},buyer,Coupon invalid msg,,No
buyer.coupons.minOrder,Min. order: ${State.formatETB(c.min_order_etb)},buyer,Coupon min order,,No
buyer.coupons.myCoupons,My Coupons,buyer,Coupons section title,,No
buyer.coupons.noCoupons,No coupons yet. Check back soon!,buyer,Coupons empty desc,,No
buyer.coupons.redeemed,Redeemed (${redeemed.length}),buyer,Coupons redeemed header,,No
buyer.coupons.used,Used,buyer,Coupon used tag,,No
buyer.coupons.validating,Validating...,buyer,Coupon validating status,,No
buyer.explore.featured,⭐ Featured,buyer,Sort option,,No
buyer.explore.itemsFrom,${filtered.length} items from verified sellers,buyer,Explore header count,,No
buyer.explore.newest,🆕 Newest,buyer,Sort option,,No
buyer.explore.noItems,🔍,buyer,Explore empty icon,,No
buyer.explore.noItemsDesc,Try different keywords or clear filters.,buyer,Explore empty desc,,No
buyer.explore.noItemsTitle,No items found,buyer,Explore empty title,,No
buyer.explore.popular,🔥 Popular,buyer,Sort option,,No
buyer.explore.priceAsc,💰 Price ↑,buyer,Sort option,,No
buyer.explore.priceDesc,💰 Price ↓,buyer,Sort option,,No
buyer.filter.all,All,buyer,Filter pill,,No
buyer.filter.electronics,📱 Electronics,buyer,Filter pill,,No
buyer.filter.fashion,👗 Fashion,buyer,Filter pill,,No
buyer.filter.food,☕ Food & Coffee,buyer,Filter pill,,No
buyer.filter.footwear,👟 Footwear,buyer,Filter pill,,No
buyer.help.center,Help Center,buyer,Help — placeholder section,,No
buyer.item.addToCart,Add to cart,buyer,Item cart button aria-label,,No
buyer.item.addToCartToast,Added to cart!,buyer,Add to cart toast,,No
buyer.item.saveForLater,Save for later,buyer,Item heart aria-label,,No
buyer.notifications.emptyDesc,"You'll see order updates, delivery confirmations, and messages here.",buyer,Notifications empty desc,,No
buyer.notifications.emptyTitle,No notifications yet,buyer,Notifications empty title,,No
buyer.notifications.title,Notifications,buyer,Notifications title,,No
buyer.orders.active,Active,buyer,Order filter tab,,No
buyer.orders.all,All,buyer,Order filter tab,,No
buyer.orders.cancelled,Cancelled,buyer,Order filter tab,,No
buyer.orders.cancelledReason,${o.cancel_reason || 'Order was cancelled'},buyer,Order cancel reason,,No
buyer.orders.completed,Completed,buyer,Order filter tab,,No
buyer.orders.deliveryCode,"🔑 Delivery code: <strong style=""font-family:monospace;letter-spacing:2px;"">${o.delivery_otp}</strong> — give this to the ${o.delivery_provider === 'self' ? 'seller' : 'rider'} at handover",buyer,Order OTP line,,No
buyer.orders.myOrders,My Orders,buyer,Orders section title,,No
buyer.orders.noOrders,No ${filter === 'all' ? '' : filter} orders,buyer,Orders empty title,,No
buyer.orders.noOrdersDesc,${filter === 'all' ? 'Your purchase history will appear here.' : 'No orders match this filter.'},buyer,Orders empty desc,,No
buyer.orders.paymentVerified,"✅ Payment verified from screenshot · TX <strong style=""font-family:monospace;"">${o.payment_proof.tx_ref}</strong>",buyer,Order payment proof line,,No
buyer.orders.promoCoupon,🎟️ Promo Coupon Saved: -${State.formatETB(o.discount_etb)},buyer,Order promo line,,No
buyer.orders.receipt,📄 Receipt,buyer,Order receipt button,,No
buyer.orders.scanRider,📷 Scan Rider's QR,buyer,Order scan rider button,,No
buyer.orders.showMyQR,📱 Show My QR,buyer,Order show QR button,,No
buyer.orders.trackSoon,Live tracking coming soon!,buyer,Track order toast,,No
buyer.orders.viewDetails,View Details,buyer,Order view details button,,No
buyer.orders.writeReview,Write a Review,buyer,Order write review button,,No
buyer.payment.addCard,Add New Card,buyer,Add card button,,No
buyer.payment.addSub,Your card details are encrypted. Only the last 4 digits are stored.,buyer,Add card modal sub,,No
buyer.payment.addTitle,Add Payment Card,buyer,Add card modal title,,No
buyer.payment.cardAdded,Card added!,buyer,Card added toast,,No
buyer.payment.cardNumber,Card Number,buyer,Card number label,,No
buyer.payment.cardNumberPlaceholder,1234 5678 9012 3456,buyer,Card number placeholder,,No
buyer.payment.cardRemoved,Card removed,buyer,Card remove toast,,No
buyer.payment.cardholder,Cardholder Name,buyer,Cardholder label,,No
buyer.payment.cardholderLabel,Cardholder,buyer,Card detail label,,No
buyer.payment.cardholderPlaceholder,John Doe,buyer,Cardholder placeholder,,No
buyer.payment.cash,💵 Cash on Delivery,buyer,Payment alt badge,,No
buyer.payment.cbe,🏦 CBE Birr,buyer,Payment alt badge,,No
buyer.payment.cvv,CVV,buyer,Card cvv label,,No
buyer.payment.cvvPlaceholder,•••,buyer,Card cvv placeholder,,No
buyer.payment.default,Default,buyer,Card default tag,,No
buyer.payment.defaultUpdated,Default card updated,buyer,Default update toast,,No
buyer.payment.expires,Expires,buyer,Card detail label,,No
buyer.payment.expiry,Expiry,buyer,Card expiry label,,No
buyer.payment.expiryPlaceholder,MM/YY,buyer,Card expiry placeholder,,No
buyer.payment.failedAdd,Failed to add card,buyer,Card add error,,No
buyer.payment.failedDefault,Failed to update default,buyer,Default update error,,No
buyer.payment.failedRemove,Failed to remove card,buyer,Card remove error,,No
buyer.payment.invalidCvv,Invalid CVV,buyer,Card cvv error,,No
buyer.payment.invalidExpiry,Invalid expiry date,buyer,Card expiry error,,No
buyer.payment.invalidNumber,Invalid card number,buyer,Card number error,,No
buyer.payment.invalidNumber2,Invalid number,buyer,Card brand invalid,,No
buyer.payment.methods,Payment Methods,buyer,Payment section title,,No
buyer.payment.noCards,No saved cards,buyer,Payment empty title,,No
buyer.payment.noCardsDesc,Add a payment method for faster checkout.,buyer,Payment empty desc,,No
buyer.payment.otherMethods,Other Payment Methods,buyer,Payment alt section,,No
buyer.payment.remove,Remove,buyer,Card remove button,,No
buyer.payment.removeConfirm,Remove this payment method?,buyer,Delete payment confirm,,No
buyer.payment.saveCard,Save Card,buyer,Save card button,,No
buyer.payment.setDefaultBtn,Set Default,buyer,Card set default button,,No
buyer.payment.setDefaultCheck,Set as default,buyer,Add card default checkbox,,No
buyer.payment.telebirr,📱 Telebirr,buyer,Payment alt badge,,No
buyer.payment.validNumber,Valid number,buyer,Card brand valid,,No
buyer.privacy.policy,Privacy Policy,buyer,Privacy — placeholder section,,No
buyer.profile.address,Manage Address,buyer,Profile address menu,,No
buyer.profile.buyer,Buyer,buyer,Profile buyer badge,,No
buyer.profile.coupons,My Coupons,buyer,Profile coupons menu,,No
buyer.profile.email,Email Address,buyer,Profile field label,,No
buyer.profile.emailPlaceholder,you@example.com,buyer,Profile email placeholder,,No
buyer.profile.failed,Failed to update profile,buyer,Profile update error,,No
buyer.profile.fullName,Full Name,buyer,Profile field label,,No
buyer.profile.fullNamePlaceholder,Your full name,buyer,Profile name placeholder,,No
buyer.profile.help,Help Center,buyer,Profile help menu,,No
buyer.profile.helpDesc,"FAQs, chat support & contact",buyer,Help menu desc,,No
buyer.profile.mfa.disable,MFA disabled,buyer,MFA disable toast,,No
buyer.profile.mfa.enable,MFA enabled,buyer,MFA enable toast,,No
buyer.profile.mfa.failed,Failed to update MFA setting,buyer,MFA error toast,,No
buyer.profile.mfaDesc,Add an extra layer of security to your account,buyer,MFA toggle desc,,No
buyer.profile.mfaTitle,Multi-Factor Authentication,buyer,MFA toggle label,,No
buyer.profile.nameRequired,Name is required,buyer,Profile name error,,No
buyer.profile.notifDesc,"Messages, orders & delivery updates",buyer,Notifications menu desc,,No
buyer.profile.notifications,Notifications,buyer,Profile notifications menu,,No
buyer.profile.openShop,Open a Shop on Medebirr — Free,buyer,Open shop CTA,,No
buyer.profile.orders,My Orders,buyer,Profile orders menu,,No
buyer.profile.payment,Payment Methods,buyer,Profile payment menu,,No
buyer.profile.pending,Pending,buyer,Store pending status,,No
buyer.profile.phone,Phone Number,buyer,Profile field label,,No
buyer.profile.phonePlaceholder,+251 9XX XXX XXX,buyer,Profile phone placeholder,,No
buyer.profile.privacy,Privacy Policy,buyer,Profile privacy menu,,No
buyer.profile.privacyDesc,Data usage & legal terms,buyer,Privacy menu desc,,No
buyer.profile.saveChanges,Save Changes,buyer,Profile save button,,No
buyer.profile.security,Security,buyer,Profile security section,,No
buyer.profile.settings,Settings,buyer,Profile settings menu,,No
buyer.profile.settingsDesc,"Dark mode, notifications, biometrics",buyer,Settings menu desc,,No
buyer.profile.studio,Studio →,buyer,Profile studio button,,No
buyer.profile.telegramUser,Telegram User,buyer,Profile fallback username,,No
buyer.profile.updated,Profile updated!,buyer,Profile update toast,,No
buyer.profile.verified,Verified,buyer,Store verified status,,No
buyer.profile.yourProfile,Your Profile,buyer,Profile section title,,No
buyer.profile.yourStores,Your Stores,buyer,Profile stores section,,No
buyer.settings.amharic,አማርኛ,buyer,Language amharic,,No
buyer.settings.appearance,Appearance,buyer,Settings group title,,No
buyer.settings.biometric,Biometric Login,buyer,Settings toggle label,,No
buyer.settings.biometricDesc,FaceID or Fingerprint authentication,buyer,Settings toggle desc,,No
buyer.settings.chatAlerts,Chat Alerts,buyer,Notif toggle label,,No
buyer.settings.chatAlertsDesc,Messages from sellers and support,buyer,Notif toggle desc,,No
buyer.settings.darkHint,Switch to light theme,buyer,Dark mode desc,,No
buyer.settings.darkMode,🌙 Dark Mode,buyer,Dark mode label,,No
buyer.settings.english,English,buyer,Language english,,No
buyer.settings.language,Language,buyer,Settings language label,,No
buyer.settings.lightHint,Switch to dark theme,buyer,Light mode desc,,No
buyer.settings.lightMode,☀️ Light Mode,buyer,Light mode label,,No
buyer.settings.orderUpdates,Order Updates,buyer,Notif toggle label,,No
buyer.settings.orderUpdatesDesc,"Dispatch, delivery, and status changes",buyer,Notif toggle desc,,No
buyer.settings.oromia,Afaan Oromoo,buyer,Language oromia,,No
buyer.settings.promotions,Promotions & Deals,buyer,Notif toggle label,,No
buyer.settings.promotionsDesc,"Sales, discounts, and new arrivals",buyer,Notif toggle desc,,No
buyer.settings.pushNotif,Push Notifications,buyer,Settings group title,,No
buyer.settings.security,Security,buyer,Settings group title,,No
buyer.settings.title,Settings,buyer,Settings section title,,No
buyer.shops.allShops,All Shops,buyer,Shops section title,,No
buyer.shops.backToHub,← Back to Hub,buyer,Store page back button,,No
buyer.shops.couldNotLoad,Could not load store page,buyer,Store page error toast,,No
buyer.shops.group,💬 Group,buyer,Shop telegram group button,,No
buyer.shops.joinTelegram,💬 Join Telegram Group,buyer,Store page join group button,,No
buyer.shops.loading,Loading shops...,buyer,Shops loading state,,No
buyer.shops.new,New,buyer,Shop rating fallback,,No
buyer.shops.noProducts,No products listed yet.,buyer,Store page no products,,No
buyer.shops.products,Products (${products.length}),buyer,Store products header,,No
buyer.shops.searchPlaceholder,Search stores by name or location...,buyer,Shops search placeholder,,No
buyer.shops.stores,${shops.length} stores,buyer,Shops count,,No
buyer.wishlist.chat,💬 Chat,buyer,Wishlist chat button,,No
buyer.wishlist.removeSaved,Removed from saved,buyer,Wishlist remove toast,,No
buyer.wishlist.saved,Saved!,buyer,Wishlist add toast,,No
buyer.wishlist.share,📤 Share,buyer,Wishlist share button,,No
checkout.agreePolicy,I agree to <strong>${pkg.shopName}</strong>'s return policy (${State.policyLabel(pkg.returnPolicy)}).,checkout,Review policy agree,,No
checkout.agreeToComplete,Please agree to the store policy to complete checkout,checkout,Checkout agree toast,,No
checkout.applyCode,Apply,checkout,Coupon apply button,,No
checkout.back,← Back,checkout,Checkout back button,,No
checkout.cancel,Cancel,checkout,Checkout cancel button,,No
checkout.cartSubtotal,Cart Subtotal,checkout,Review subtotal row,,No
checkout.cash,💵 Cash on Delivery,checkout,Cash radio title,,No
checkout.cashDesc,Pay courier or cashier upon inspection,checkout,Cash radio desc,,No
checkout.cashOnDelivery,"💵 <strong>Cash on Delivery</strong><br/><span style=""font-size:11px;color:var(--text-secondary);"">Pay upon item inspection</span>",checkout,Review cash summary,,No
checkout.cashReady,Please have exact cash (` + State.formatETB(this._total()) + `) ready for the courier or cashier upon item inspection.,checkout,Cash ready note,,No
checkout.cashSelected,💵 Cash on Delivery Selected,checkout,Cash details title,,No
checkout.cbe,🏦 CBE Bank Transfer,checkout,CBE radio title,,No
checkout.cbeDesc,Direct Account-to-Account Deposit,checkout,CBE radio desc,,No
checkout.cbePaste,2. Paste your Bank Transaction Code below:,checkout,CBE step2,,No
checkout.cbeTransfer,1. Transfer <strong>${State.formatETB(this._total())}</strong> via CBE Birr / Mobile Banking to:,checkout,CBE transfer step1,,No
checkout.cbeTransfer2,"🏦 <strong>CBE Bank Transfer</strong><br/><span style=""font-size:11px;color:var(--text-secondary);"">TX ID: ${this._txCode || 'Pending at handover'}</span>",checkout,Review cbe summary,,No
checkout.cbeTxPlaceholder,e.g. FT26194204812,checkout,CBE tx placeholder,,No
checkout.close,Close,checkout,Success close button,,No
checkout.codePlaceholder,Enter code (e.g. BEKOLLO015),checkout,Coupon placeholder,,No
checkout.confirmed,Order Confirmed!,checkout,Success title,,No
checkout.confirming,Confirming payment &amp; generating receipt,checkout,Checkout processing sub,,No
checkout.contactPhone,📱 Contact Phone Number,checkout,Checkout phone label,,No
checkout.copied,Account copied!,checkout,Copy toast,,No
checkout.couponApplied,'🎉 Coupon '${this._couponCode}' Applied!',checkout,Coupon applied banner,,No
checkout.couponAppliedToast,'Coupon ${this._couponCode} applied!',checkout,Coupon applied toast,,No
checkout.deliverAddress,🛵 Deliver to My Address,checkout,Delivery radio title,,No
checkout.deliverDesc,Rider brings it directly to your door,checkout,Delivery radio desc,,No
checkout.delivery,Delivery,checkout,Checkout summary row,,No
checkout.deliveryCode2,"🛡️ <strong style=""color:var(--accent);"">Delivery verification code</strong><br/> <div style=""font-family:monospace;font-size:22px;font-weight:900;letter-spacing:6px;color:var(--accent);margin:6px 0;"">${otp}</div> Share this with your rider when they arrive — they enter it to confirm handover.",checkout,Success OTP box,,No
checkout.deliveryDestination,Delivery Destination,checkout,Checkout address preview label,,No
checkout.deliveryFee,Delivery Fee,checkout,Review delivery fee row,,No
checkout.downloadReceipt,📥 Download PDF Receipt,checkout,Download receipt button,,No
checkout.enterContact,Please enter your contact phone number,checkout,Checkout contact toast,,No
checkout.enterCoupon,Please enter a coupon code first,checkout,Coupon empty toast,,No
checkout.finalTotal,Final Total to Pay,checkout,Review final total,,No
checkout.free,Free,checkout,Delivery free price,,No
checkout.generatingReceipt,Generating your receipt PDF...,checkout,Success receipt loading,,No
checkout.homeDelivery,"🛵 <strong>Home Delivery</strong> to ${this._subCity}<br/><span style=""font-size:11px;color:var(--text-secondary);"">${this._landmark || 'Sub-city delivery'}</span>",checkout,Review delivery summary,,No
checkout.houseLandmark,🏠 House Number / Landmark,checkout,Checkout landmark label,,No
checkout.invalidCoupon,Invalid or expired coupon code,checkout,Coupon invalid toast,,No
checkout.items,Items (${pkg.items.length}),checkout,Checkout items count,,No
checkout.itemsInPackage,Items in Package (${pkg.items.length}),checkout,Review items header,,No
checkout.landmarkPlaceholder,"e.g. Near Edna Mall, House 412 or behind bakery",checkout,Checkout landmark placeholder,,No
checkout.nextPayment,Next: Payment →,checkout,Checkout next button,,No
checkout.nextReview,Next: Review & Confirm →,checkout,Checkout next button,,No
checkout.orderFailed,Order placement failed — please try again,checkout,Checkout fail toast,,No
checkout.payViaCbe,🏦 Pay via Commercial Bank of Ethiopia (CBE),checkout,CBE details title,,No
checkout.payViaTelebirr,📱 Pay via Telebirr,checkout,Telebirr details title,,No
checkout.paymentMethod,Payment Method,checkout,Review payment label,,No
checkout.paymentTitle,Step 2 — Select Payment Method,checkout,Checkout step2 heading,,No
checkout.phoneHint,Rider or seller will call this number for handover coordination.,checkout,Checkout phone hint,,No
checkout.phonePlaceholder,+251 9XX XXX XXX,checkout,Checkout phone placeholder,,No
checkout.pickup,🏪 Collect from Store,checkout,Pickup radio title,,No
checkout.pickupDesc,Visit the seller's shop in person,checkout,Pickup radio desc,,No
checkout.placeOrder,'🚀 Place &amp; Pay Order — ${State.formatETB(total)}',checkout,Review place order button,,No
checkout.placedWith,"Your order <strong style=""color:var(--accent);"">${orderRef}</strong><br/> has been placed with <strong style=""color:white;"">${storeName}</strong>",checkout,Success body,,No
checkout.processing,Processing Your Order...,checkout,Checkout processing title,,No
checkout.promoCode,🎟️ Promotional Coupon Code,checkout,Coupon section label,,No
checkout.promoCoupon,Promo Coupon (${this._couponCode}),checkout,Review coupon row,,No
checkout.promoDiscount,Promo Discount,checkout,Checkout summary row,,No
checkout.purchaseSuccess,Purchase Successful!,checkout,Success title,,No
checkout.receiptHistory,Receipt will be available in your order history.,checkout,Receipt fallback note,,No
checkout.receiptTelegram,📄 Receipt will be sent to you via Telegram.,checkout,Receipt telegram note,,No
checkout.reviewTitle,Step 3 — Review Your Order,checkout,Review heading,,No
checkout.selectSubCity,Select sub-city,checkout,Checkout address fallback,,No
checkout.selectSubCityErr,Please select your sub-city,checkout,Checkout subcity toast,,No
checkout.step1,Delivery,checkout,Checkout step 1 label,,No
checkout.step1Title,Step 1 — Delivery & Contact,checkout,Checkout step1 heading,,No
checkout.step2,Payment,checkout,Checkout step 2 label,,No
checkout.step3,Confirm,checkout,Checkout step 3 label,,No
checkout.storePickup,"🏪 <strong>Store Pickup</strong> at ${pkg.shopName}<br/><span style=""font-size:11px;color:var(--text-secondary);"">${pkg.physicalAddress || 'Bole Commercial Center'}</span>",checkout,Review pickup summary,,No
checkout.subCity,📍 Select Sub-City,checkout,Checkout subcity label,,No
checkout.subtotalPay,Subtotal to Pay,checkout,Checkout summary row,,No
checkout.successInfo,💳 Payment confirmed — funds sent directly to seller<br/> 📄 Your PDF receipt is being generated below<br/> 🛵 You'll get a Telegram message when rider is assigned<br/> 🛡️ Purchase protected by the store's return policy,checkout,Success info box,,No
checkout.telebirr,📱 Telebirr Direct Transfer,checkout,Telebirr radio title,,No
checkout.telebirrCopy,📋 Copy,checkout,Telebirr copy button,,No
checkout.telebirrDesc,Pay to Merchant Shortcode / Phone,checkout,Telebirr radio desc,,No
checkout.telebirrSms,2. Enter your SMS Transaction ID below:,checkout,Telebirr step2,,No
checkout.telebirrTransfer,1. Open Telebirr App &amp; transfer <strong>${State.formatETB(this._total())}</strong> to:,checkout,Telebirr transfer step1,,No
checkout.telebirrTransfer2,"📱 <strong>Telebirr Transfer</strong><br/><span style=""font-size:11px;color:var(--text-secondary);"">TX ID: ${this._txCode || 'Pending at handover'}</span>",checkout,Review telebirr summary,,No
checkout.telebirrTxPlaceholder,e.g. TBX-891204-99218401,checkout,Telebirr tx placeholder,,No
checkout.title,Checkout: ${pkg.shopName},checkout,Checkout topbar title,,No
checkout.totalPay,Total to Pay,checkout,Checkout summary total,,No
checkout.trackOrder,📦 Track My Order,checkout,Track order button,,No
checkout.uploadReceipt,🤖 Upload Receipt to Verification Bot,checkout,Success upload button,,No
checkout.verifyPayment,"📤 <strong style=""color:#60A5FA;"">Verify your payment</strong><br/> Send your transaction screenshot to our Verification Bot — it reads the receipt and marks your order paid automatically.",checkout,Success verify box,,No
checkout.zeroEscrow,Zero escrow holding! You transfer money directly to the store's verified account.,checkout,Checkout payment intro,,No
delivery.assign.company,🚚<br/>Delivery Co.,delivery,Provider company,,No
delivery.assign.companyMsg,Delivery partner assigned! Buyer notified.,delivery,Company toast,,No
delivery.assign.companyName,Delivery Company Name,delivery,Company name label,,No
delivery.assign.companyNamePlaceholder,e.g. Sendit Express,delivery,Company name placeholder,,No
delivery.assign.companyNote,Local delivery partner integration coming soon — add the company name now so the buyer is notified.,delivery,Company note,,No
delivery.assign.companyPhone,Company Phone (optional),delivery,Company phone label,,No
delivery.assign.companyPhonePlaceholder,+251 911 000 000,delivery,Company phone placeholder,,No
delivery.assign.companyRequired,Delivery company name is required,delivery,Company required toast,,No
delivery.assign.confirm,Confirm Delivery Assignment,delivery,Assign confirm button,,No
delivery.assign.desc,Choose who delivers this order. The buyer gets a delivery code + QR either way.,delivery,Assign delivery desc,,No
delivery.assign.dispatchNote,Dispatch Note (optional),delivery,Dispatch note label,,No
delivery.assign.dispatchNotePlaceholder,Picking up now...,delivery,Dispatch note placeholder,,No
delivery.assign.failed,Dispatch failed,delivery,Dispatch error toast,,No
delivery.assign.rider,🛵<br/>Assign Rider,delivery,Provider rider,,No
delivery.assign.riderMsg,Rider assigned! Buyer notified.,delivery,Rider toast,,No
delivery.assign.riderName,Rider Full Name,delivery,Rider name label,,No
delivery.assign.riderNamePlaceholder,e.g. Abebe Girma,delivery,Rider name placeholder,,No
delivery.assign.riderPhone,Rider Phone Number,delivery,Rider phone label,,No
delivery.assign.riderPhonePlaceholder,+251 922 000 000,delivery,Rider phone placeholder,,No
delivery.assign.riderRequired,Rider name and phone are required,delivery,Rider required toast,,No
delivery.assign.self,🏪<br/>I'll Deliver,delivery,Provider self,,No
delivery.assign.selfMsg,Self-delivery set! Buyer notified.,delivery,Self delivery toast,,No
delivery.assign.selfNote,You'll deliver this order yourself. The buyer still receives the delivery code &amp; QR for handover.,delivery,Provider self note,,No
delivery.assign.title,🛵 Assign Delivery,delivery,Assign delivery title,,No
delivery.callBuyer,📞 Call Buyer,delivery,Call buyer button,,No
delivery.confirmDelivery,Delivery confirmed! Warranty period started.,delivery,Confirm delivery toast,,No
delivery.confirmDeliveryErr,${err.message},delivery,Confirm delivery error,,No
delivery.qr.allow,📷 Allow Camera,delivery,Scan allow button,,No
delivery.qr.allowCamera,Allow camera access?,delivery,Scan permission title,,No
delivery.qr.alreadyConfirmed,✅ Delivery Already Confirmed!,delivery,Manual already confirmed,,No
delivery.qr.attempt,Attempt ${result.attempt || '?'} of 5 · ${result.remaining || '?'} remaining,delivery,Manual attempt info,,No
delivery.qr.back,← Back,delivery,Scan back button,,No
delivery.qr.bothConfirmed,✅ Delivery Confirmed by Both Parties!,delivery,QR both confirmed,,No
delivery.qr.buyer,Buyer,delivery,QR buyer status,,No
delivery.qr.buyerShow,Show this to the rider for verification.,delivery,QR buyer instruction,,No
delivery.qr.cameraHint,We couldn't open the camera. You can still verify with the delivery code.,delivery,Scanner camera hint,,No
delivery.qr.cameraNeeded,e-Merkato needs your camera to scan the delivery QR code. Your camera is used only while this screen is open.,delivery,Scan permission body,,No
